2.95	0.8785	15.8635	0	0.8785	12.0505	2.95	0.4425	7.6835	0.333	0.5	0.61	0	0.5	0.6955	0.333	0	0.411	0.2	0	0.3	0.2	0	0.1
11.545	0.873	13.4825	11.545	0.873	13.4825	1.908	0.873	6.671	0.955	0.5	0.24	0.939	0.5	0.2235	1	0	0.144	0	0	0.2	0	0	0
0.947	0	0	0.947	0	0	0.947	0	0	0	0	0	0	0	0	0	0	0	0.2	0.1	0.225	0.4	0	0
0	9.897	0.4545	0	9.3605	0.4545	0	3.6315	0.4545	0	0.202	0	0	0.229	0	0	0.05	0	0	0	0.125	0	0	0
0	12.0635	8.1125	0	6.065	6.6705	0	7.82	6.287	0	0.1525	0.643	0	0.235	0.875	0	0.0515	0.4535	1	0	0.5	1	0	0.4375
0.894	0	0.447	0.894	0	0.447	0.894	0	0.447	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0
1.904	2.244	0.9575	0	0.8795	0	1.904	1.3645	0.9575	0	0.05	0	0	0.5	0	0	0	0	0.889	0	0.6	1	0	0.7
16.237	0	0	16.237	0	0	2.851	0	0	0.456	0	0	0.441	0	0	0	0	0	0	0	0	0	0	0
0	11.59	1.8635	0	11.59	1.3975	0	3.5345	1.4275	0	0.257	0.5	0	0.253	0.5	0	0.119	0	0	0	0.2	0	0	0
0	16.175	3.8575	0	16.175	3.8575	0	4.4585	1.9905	0	0.1645	0.25	0	0.16	0.25	0	0.0895	0.0835	0.25	0.111	0.3335	0	0.1805	0.5
0	1.858	7.199	0	0.9105	4.614	0	0.947	4.3215	0	0.5	0.7165	0	0.5	0.7335	0	0.5	0.643	0.333	0	0	0	0	0
1.018	0.459	0.947	1.018	0.459	0.4285	1.018	0.459	0.947	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0
18.363	10.5185	4.247	18.363	7.6445	3.2435	10.595	7.641	3.3505	0.585	0.6145	0.381	0.55	0.668	0.357	0.364	0.333	0.25	0	0	0	0	0	0
0	0	4.303	0	0	4.303	0	0	1.907	0	0	0.25	0	0	0.25	0	0	0.3335	0.75	0.5	0.3	0.75	0.5	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.785	21.1585	10.5185	1.785	21.1585	7.6445	0.902	12.465	7.641	1	0.545	0.6145	1	0.531	0.668	0	0.292	0.333	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1665	0	0	0	0
0	0	0.52	0	0	0.52	0	0	0.52	0	0	0	0	0	0	0	0	0	0	0.3335	0.25	0.333	0.6	0.25
0	0	-0.5	0	0	-0.5	0	0	-0.5	0	0	-0.5	0	0	-0.5	0	0	-0.5	0	0	-0.5	0	0	-0.5
2.007	11.6275	3.2435	0	11.6275	3.2435	2.007	6.8555	2.347	0	0.6425	0.381	0	0.625	0.357	0	0.3485	0.25	0	0	0	0	0	0
0	16.645	5.5715	0	12.397	4.472	0	8.933	3.659	0	0.7045	0.3365	0	0.7865	0.3195	0	0.6175	0.238	0	0.1	0.1	0	0	0
0	4.536	0.459	0	4.536	0.459	0	1.4035	0.459	0	0.7855	0	0	0.7855	0	0	0.1665	0	0	0.3	0	0	0.3	0
0	3.1315	0.439	0	3.1315	0.439	0	1.402	0.439	0	0.5835	0	0	0.5835	0	0	0	0	0.2	0	0.1555	0	0	0
0	0	0.5185	0	0	0	0	0	0.5185	0	0	0	0	0	0	0	0	0	0	0.1	0.125	0	0.1	0.0625
0	0	2.755	0	0	2.755	0	0	1.825	0	0	0.1335	0	0	0.1335	0	0	0	0	0.2	0	0	0.1	0
0.883	0	1.595	0	0	0.972	0.883	0	1.1305	0	0	0.5	0	0	0.5	0	0	0.5	0	0.5	0.1	0	0.5	0
0	4.4335	1.858	0	2.8685	0.9105	0	2.02	0.947	0	0.5665	0.5	0	1	0.5	0	0.5	0.5	0	0.3	0	0	0.2	0
0	0	0.4735	0	0	0.4735	0	0	0.4735	0	0	0	0	0	0	0	0	0	0	0.1	0.225	0	0	0.2
0	0.4965	0	0	0.4965	0	0	0.4965	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0	0
2.734	2.755	1.337	2.734	2.755	1.337	0.893	1.825	0.4735	0.667	0.1335	0.3335	0.667	0.1335	0.3335	0	0	0	0	0	0.1	0	0	0
2.772	0.509	0	1.771	0.509	0	1.855	0.509	0	0	0	0	0	0	0	0	0	0	0.333	0.25	0.5	0	0	0.6
1.746	2.2355	5.7725	1.746	2.2355	5.7725	1.746	1.7845	0.954	1	0.25	0.4775	1	0.25	0.4695	0	0.1665	0.5	0	0	0	0	0	0
0	2.238	0	0	2.238	0	0	0.432	0	0	0.2	0	0	0.2	0	0	0	0	0.2	0	0.5	0.2	0	0.5
1.073	0.4545	0	0	0.4545	0	1.073	0.4545	0	0	0	0	0	0	0	0	0	0	0.2	0.125	0	0	0	0
0	0	0.917	0	0	0.4345	0	0	0.917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.706	0.947	1.9735	31.706	0.4285	1.9735	8.196	0.947	1.54	0.357	0	0.5	0.348	0	0.5	0.667	0	0.5	0.2	0	0.6125	0.2	0	0.25
1.766	0.87	15.762	1.766	0.87	11.514	1.766	0.87	8.05	1	0	0.2045	1	0	0.2865	1	0	0.1175	0	0.2	0.1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.625	0	0.6	0.9445
0	0.938	4.014	0	0.938	3.049	0	0.4605	1.392	0	0	0.278	0	0	0.2855	0	0	0.1665	0	0	0.0555	0	0.3335	0
3.505	0.91	0.9115	2.605	0.91	0.9115	3.505	0.91	0.9115	0.667	0.5	0.5	1	0.5	0.5	0.667	0.5	0.5	0.429	0	0.2	0.857	0	0.1
1.765	0	0	1.765	0	0	0.894	0	0	1	0	0	1	0	0	0	0	0	0	0	0.5	0	0.5	0.5
0	17.6075	2.6625	0	17.6075	2.2125	0	6.067	2.6625	0	0.371	0.8335	0	0.3655	1	0	0.2025	0.8335	0	0	0.2145	0	0	0.4285
0	1.9965	0	0	1.9965	0	0	1.567	0	0	0.1665	0	0	0.1665	0	0	0	0	0	0.225	0	0	0	0
0	3.24	0	0	3.24	0	0	1.912	0	0	0.238	0	0	0.238	0	0	0	0	0	0	0	0	0.1	0
0	0	4.536	0	0	4.536	0	0	1.4035	0	0	0.7855	0	0	0.7855	0	0	0.1665	0.333	0.5	0.3	0	0.5	0.3
0	0.9785	1.3765	0	0.509	0.484	0	0.9785	0.893	0	0	0.1665	0	0	0	0	0	0	0.4	0	0.3	0	0	0.1
0	0	7.3165	0	0	6.824	0	0	2.043	0	0	0.2905	0	0	0.3295	0	0	0.25	1	0.1	0.3	1	0	0.5
1.794	22.69	2.2355	1.794	22.69	2.2355	1.794	8.499	1.7845	1	0.1575	0.25	1	0.1475	0.25	0	0.154	0.1665	0	0	0	0	0	0
0	3.8835	0.457	0	3.8835	0.457	0	3.4175	0.457	0	0.107	0	0	0.107	0	0	0.0715	0	0	0.1	0	0	0	0
0	0.5035	1.3915	0	0	0.8875	0	0.5035	0.9585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.92	17.9675	0	0.92	17.3445	0	0.92	4.448	0	0	0.1235	0	0	0.1285	0	0	0.0535	0	0	0	0	0.2	0	0
3.805	0.439	1.233	3.805	0.439	1.233	2.948	0.439	1.233	0.667	0	0.5	0.667	0	0.5	1	0	0.5	0	0.1555	0	0	0	0
0	1.119	0	0	1.119	0	0	1.119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.251	0	0.4935	1.251	0	0.4935	1.251	0	0.4935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.869	0	0.4965	0.869	0	0.4965	0.869	0	0.4965	0	0	0	0	0	0	0	0	0	0	0.225	0.2	0	0	0
1.876	3.8075	0	1.876	3.8075	0	0.921	2.5045	0	0	0.2855	0	0	0.25	0	0	0.2	0	0	0	0	0.667	0	0
0	5.5035	7.453	0	4.542	7.453	0	2.602	3.358	0	0.389	0.3075	0	0.4165	0.302	0	0.25	0.2	0.2	0.4585	0.222	0	0.4445	0.333
0	0.5185	0	0	0	0	0	0.5185	0	0	0	0	0	0	0	0	0	0	0.2	0.125	0.1665	0	0.0625	0
0	1.233	0.432	0	1.233	0.432	0	1.233	0.432	0	0.5	0	0	0.5	0	0	0.5	0	0	0	0.1	0	0	0
0	0	4.4335	0	0	2.8685	0	0	2.02	0	0	0.5665	0	0	1	0	0	0.5	0	0.4285	0.3	0	0.5285	0.2
0	1.8635	11.181	0	1.3975	8.651	0	1.4275	5.5285	0	0.5	0.456	0	0.5	0.2905	0	0	0.381	0	0.2	0.4	0	0	0.2
0	0.469	0.6255	0	0.469	0.6255	0	0.469	0.6255	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0
0.918	0	1.456	0.918	0	0.9375	0.918	0	1.456	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0
1.915	0.952	7.512	0	0	6.014	1.915	0.952	2.902	0	0	0.1415	0	0	0.186	0	0	0.0665	0.2	0.4445	0.5	0.4	0.5	0.5
10.855	1.858	4.0155	5.685	0.9105	2.651	6.924	0.947	2.224	0.6	0.5	0.4665	0.8	0.5	0.8335	0.286	0.5	0.5	0	0.1665	0	0	0	0
0	0.457	0	0	0.457	0	0	0.457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.124	0.4415	0	9.084	0	0	4.321	0.4415	0	0.778	0	0	0.833	0	0	0.5	0	0	0.25	0.8335	0.1	0	0.9445	0.1665
