18.368	7.166	23.873	18.368	7.166	20.616	0.556	1	0.439	0.549	0.952	0.389	0	0	0	0	0	0
18.299	0	3.643	18.299	0	3.643	0.316	0	0.333	0.31	0	0.333	0.2	0.2	0.333	0	0.2	1
0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0
0	3.938	0.962	0	3.938	0.962	0	0.833	0	0	0.833	0	0	0	0.2	0	0	1
7.591	7.739	6.06	7.591	7.739	6.06	0.929	0.821	1	0.929	0.821	1	0	0	0	0.2	0	0
1.99	13.682	14.99	1.99	13.682	14.99	1	0.681	0.743	1	0.659	0.686	0	0	0.2	0	0	0
0	20.025	22.236	0	17.552	20.65	0	0.568	0.524	0	0.562	0.462	1	0.2	0	1	0.2	0
0.858	0.891	0.863	0.858	0.891	0.863	0	0	0	0	0	0	0	0	0	0	0.2	0
0.962	0	0	0.962	0	0	0	0	0	0	0	0	0.2	0	0.333	1	0	1
0	0	0.925	0	0	0.925	0	0	0	0	0	0	0	0	0	0	0	0
14.99	1.99	4.247	14.99	1.99	4.247	0.743	1	0.833	0.686	1	0.833	0.2	0	0.778	0	0	0.111
0	0	22.726	0	0	19.721	0	0	0.383	0	0	0.426	0	0	0.2	0	0	0
0	0	3.008	0	0	3.008	0	0	1	0	0	1	0.375	0.8	0.444	0.75	1	0.333
7.246	0	9.435	7.246	0	9.435	0.464	0	0.489	0.464	0	0.467	0.111	1	0	0	1	0
0	0.962	0	0	0.962	0	0	0	0	0	0	0	0.333	0.2	0	1	1	0
4.247	14.99	7.166	4.247	14.99	7.166	0.833	0.743	1	0.833	0.686	0.952	0.778	0.2	0	0.111	0	0
10.134	0	0	10.134	0	0	0.911	0	0	0.844	0	0	0	0	0	0	0	0.667
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.333
9.435	7.246	0	9.435	7.246	0	0.489	0.464	0	0.467	0.464	0	0	0.111	0.25	0	0	0
3.938	0	0	3.938	0	0	0.833	0	0	0.833	0	0	0	0	0	0	0.5	0
0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0.375	1	0.333	0.75
0	0	1.721	0	0	1.721	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.721	0	0	1.721	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.925	0	1.896	0.925	0	1.896	0	0	1	0	0	0	0	0	0	0	0	0
25.439	3.008	20.025	25.439	3.008	17.552	0.44	1	0.568	0.43	1	0.562	0	0.444	0.2	0	0.333	0.2
7.166	4.247	18.368	7.166	4.247	18.368	1	0.833	0.556	0.952	0.833	0.549	0	0.778	0	0	0.111	0
1.803	0	0	1.803	0	0	1	0	0	1	0	0	0.667	1	1	0.333	1	1
0	0	10.134	0	0	10.134	0	0	0.911	0	0	0.844	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0
13.682	0	1.99	13.682	0	1.99	0.681	0	1	0.659	0	1	0	0	0	0	0	0
10.649	51.982	16.969	10.649	51.982	16.969	0.618	0.254	0.633	0.618	0.237	0.608	0	0.2	1	0	0.2	1
0	0	13.682	0	0	13.682	0	0	0.681	0	0	0.659	0	0.333	0	0	1	0
0	10.681	1.803	0	10.681	1.803	0	0.436	1	0	0.436	1	1	0.25	0.667	1	0	0.333
