0.928	0.175	0.75	0.476	0.829	0.256	0.722
0.922	0.185	0.759	0.461	0.832	0.265	0.727
0.923	0.175	0.746	0.463	0.825	0.254	0.716
0.929	0.184	0.75	0.494	0.83	0.268	0.724
0.919	0.173	0.749	0.443	0.825	0.249	0.717
0.919	0.191	0.761	0.456	0.833	0.269	0.728
0.919	0.183	0.753	0.455	0.828	0.261	0.721
0.92	0.175	0.75	0.448	0.827	0.252	0.718
0.921	0.168	0.746	0.444	0.825	0.244	0.715
0.913	0.177	0.749	0.429	0.823	0.25	0.714
0.925	0.179	0.762	0.456	0.835	0.257	0.731
0.921	0.177	0.754	0.449	0.829	0.254	0.721
0.922	0.166	0.755	0.434	0.831	0.24	0.723
0.914	0.185	0.747	0.449	0.822	0.262	0.714
0.919	0.176	0.747	0.451	0.824	0.254	0.716
0.912	0.201	0.753	0.462	0.825	0.28	0.719
0.924	0.187	0.755	0.474	0.831	0.268	0.725
0.927	0.205	0.76	0.506	0.835	0.292	0.733
0.917	0.187	0.761	0.443	0.831	0.263	0.726
0.921	0.19	0.761	0.464	0.833	0.27	0.728
0.916	0.18	0.747	0.447	0.823	0.256	0.714
0.919	0.183	0.751	0.457	0.826	0.261	0.719
0.915	0.168	0.744	0.428	0.82	0.241	0.709
0.924	0.176	0.751	0.463	0.828	0.255	0.721
0.914	0.192	0.763	0.439	0.832	0.267	0.726
0.92	0.172	0.746	0.448	0.824	0.249	0.715
0.917	0.176	0.748	0.442	0.824	0.252	0.715
0.914	0.183	0.747	0.446	0.822	0.26	0.713
0.923	0.163	0.74	0.452	0.822	0.24	0.711
0.921	0.179	0.748	0.462	0.826	0.258	0.717
0.925	0.176	0.756	0.459	0.832	0.255	0.726
0.917	0.184	0.747	0.457	0.824	0.262	0.715
0.918	0.18	0.744	0.458	0.822	0.259	0.713
0.92	0.193	0.761	0.463	0.833	0.273	0.729
0.921	0.184	0.755	0.459	0.83	0.263	0.723
0.921	0.181	0.746	0.466	0.825	0.26	0.716
0.916	0.19	0.754	0.455	0.827	0.268	0.72
0.928	0.182	0.76	0.475	0.835	0.263	0.731
0.925	0.185	0.76	0.471	0.835	0.266	0.73
0.914	0.178	0.742	0.445	0.819	0.254	0.709
0.918	0.176	0.745	0.449	0.823	0.253	0.713
0.916	0.171	0.754	0.423	0.827	0.244	0.718
0.915	0.167	0.743	0.426	0.82	0.239	0.709
0.916	0.191	0.746	0.466	0.822	0.271	0.714
0.92	0.196	0.758	0.473	0.831	0.277	0.727
0.918	0.186	0.755	0.454	0.829	0.264	0.722
0.916	0.182	0.749	0.45	0.824	0.259	0.716
0.92	0.187	0.751	0.466	0.827	0.267	0.72
0.916	0.165	0.744	0.427	0.821	0.238	0.71
0.909	0.174	0.746	0.419	0.82	0.246	0.709
0.916	0.177	0.751	0.439	0.826	0.253	0.717
0.922	0.174	0.749	0.455	0.827	0.252	0.719
0.926	0.188	0.762	0.475	0.836	0.269	0.732
0.918	0.196	0.754	0.47	0.828	0.276	0.722
0.919	0.173	0.756	0.433	0.83	0.248	0.722
0.919	0.185	0.751	0.461	0.827	0.264	0.719
0.921	0.167	0.751	0.435	0.827	0.241	0.718
0.919	0.186	0.751	0.463	0.827	0.265	0.72
0.924	0.176	0.764	0.444	0.837	0.252	0.732
0.918	0.182	0.744	0.461	0.822	0.261	0.713
0.918	0.188	0.75	0.465	0.826	0.268	0.719
0.914	0.188	0.759	0.44	0.829	0.263	0.723
0.917	0.193	0.748	0.469	0.824	0.273	0.717
0.924	0.164	0.747	0.446	0.826	0.24	0.717
0.918	0.178	0.748	0.451	0.824	0.255	0.715
