0.929	0.17	0.753	0.468	0.832	0.25
0.931	0.179	0.753	0.489	0.833	0.262
0.924	0.179	0.758	0.458	0.833	0.257
0.926	0.181	0.759	0.468	0.834	0.262
0.93	0.189	0.764	0.487	0.839	0.272
0.927	0.183	0.757	0.475	0.833	0.264
0.92	0.201	0.754	0.486	0.829	0.285
0.926	0.186	0.762	0.471	0.836	0.266
0.926	0.172	0.762	0.447	0.836	0.248
0.927	0.185	0.76	0.475	0.835	0.266
0.924	0.179	0.757	0.459	0.832	0.258
0.929	0.188	0.757	0.495	0.834	0.272
0.926	0.182	0.755	0.475	0.832	0.264
0.922	0.186	0.754	0.468	0.83	0.267
0.923	0.188	0.752	0.478	0.829	0.27
0.923	0.186	0.755	0.472	0.831	0.267
0.927	0.176	0.752	0.47	0.83	0.256
0.926	0.173	0.754	0.461	0.831	0.251
0.926	0.187	0.763	0.472	0.837	0.268
0.927	0.185	0.752	0.486	0.83	0.268
0.924	0.179	0.76	0.457	0.834	0.257
0.93	0.177	0.753	0.484	0.833	0.259
0.929	0.18	0.76	0.478	0.836	0.262
0.93	0.185	0.76	0.488	0.837	0.268
0.931	0.185	0.755	0.498	0.833	0.27
0.92	0.189	0.756	0.464	0.83	0.268
0.921	0.179	0.755	0.452	0.83	0.256
0.924	0.193	0.759	0.478	0.833	0.275
0.927	0.19	0.762	0.481	0.837	0.273
0.925	0.181	0.761	0.461	0.835	0.26
0.926	0.187	0.76	0.475	0.835	0.268
0.926	0.18	0.757	0.468	0.833	0.26
0.93	0.177	0.758	0.477	0.835	0.259
0.926	0.191	0.761	0.482	0.835	0.274
0.927	0.18	0.755	0.477	0.832	0.262
0.93	0.193	0.76	0.5	0.836	0.279
0.926	0.182	0.757	0.473	0.833	0.263
0.928	0.196	0.756	0.503	0.833	0.282
0.931	0.189	0.756	0.504	0.834	0.275
0.925	0.182	0.757	0.469	0.832	0.263
0.924	0.198	0.759	0.489	0.833	0.281
0.926	0.179	0.754	0.472	0.832	0.26
0.925	0.188	0.757	0.48	0.833	0.271
0.921	0.172	0.757	0.437	0.831	0.247
0.923	0.185	0.76	0.465	0.833	0.265
0.928	0.173	0.755	0.466	0.833	0.253
0.925	0.183	0.758	0.47	0.833	0.264
0.926	0.18	0.764	0.458	0.837	0.259
0.93	0.183	0.755	0.493	0.834	0.267
0.928	0.182	0.757	0.479	0.834	0.264
0.927	0.184	0.759	0.477	0.835	0.266
0.926	0.177	0.759	0.462	0.835	0.256
0.927	0.196	0.763	0.489	0.837	0.279
0.928	0.187	0.761	0.48	0.836	0.269
0.928	0.19	0.758	0.492	0.834	0.274
0.918	0.189	0.757	0.454	0.83	0.267
0.928	0.193	0.754	0.503	0.832	0.279
0.923	0.18	0.755	0.462	0.831	0.259
0.923	0.177	0.759	0.45	0.833	0.254
0.932	0.184	0.758	0.495	0.836	0.268
0.93	0.182	0.759	0.482	0.835	0.264
0.924	0.185	0.757	0.469	0.832	0.266
0.924	0.178	0.758	0.456	0.833	0.256
