0.9	0.118	0.792	0.24	0.843	0.158	0.735
0.897	0.138	0.802	0.255	0.847	0.179	0.742
0.899	0.141	0.799	0.269	0.846	0.185	0.742
0.904	0.127	0.791	0.266	0.844	0.172	0.737
0.904	0.116	0.807	0.227	0.853	0.153	0.749
0.898	0.11	0.784	0.23	0.837	0.149	0.727
0.9	0.136	0.8	0.26	0.847	0.178	0.742
0.89	0.115	0.79	0.218	0.837	0.15	0.727
0.894	0.136	0.798	0.251	0.843	0.176	0.737
0.891	0.121	0.785	0.235	0.835	0.159	0.724
0.892	0.132	0.794	0.245	0.84	0.172	0.732
0.898	0.129	0.797	0.25	0.845	0.17	0.739
0.899	0.117	0.787	0.242	0.839	0.158	0.73
0.897	0.132	0.79	0.26	0.84	0.175	0.732
0.899	0.114	0.791	0.231	0.842	0.153	0.733
0.893	0.126	0.795	0.237	0.841	0.164	0.733
0.894	0.133	0.796	0.249	0.842	0.173	0.735
0.9	0.125	0.808	0.235	0.852	0.163	0.748
0.904	0.125	0.798	0.254	0.848	0.168	0.743
0.903	0.131	0.794	0.266	0.845	0.175	0.739
0.902	0.15	0.797	0.294	0.846	0.199	0.742
0.902	0.149	0.795	0.294	0.845	0.198	0.741
0.897	0.122	0.793	0.238	0.842	0.161	0.733
0.887	0.111	0.796	0.202	0.839	0.143	0.729
0.896	0.14	0.8	0.261	0.845	0.183	0.74
0.894	0.129	0.795	0.242	0.842	0.168	0.734
0.9	0.137	0.795	0.269	0.844	0.181	0.739
0.9	0.125	0.793	0.252	0.843	0.167	0.736
0.898	0.13	0.804	0.241	0.848	0.169	0.744
0.897	0.13	0.791	0.255	0.84	0.172	0.732
0.897	0.121	0.788	0.246	0.839	0.162	0.73
0.905	0.114	0.798	0.238	0.848	0.154	0.743
0.892	0.114	0.794	0.215	0.84	0.149	0.731
0.895	0.131	0.792	0.252	0.84	0.172	0.732
0.893	0.117	0.796	0.222	0.842	0.154	0.734
0.895	0.121	0.788	0.239	0.838	0.16	0.729
0.902	0.14	0.798	0.274	0.847	0.185	0.742
0.895	0.123	0.792	0.239	0.841	0.162	0.732
0.894	0.138	0.796	0.256	0.842	0.179	0.735
0.9	0.136	0.793	0.27	0.843	0.181	0.736
0.898	0.13	0.799	0.247	0.846	0.17	0.74
0.899	0.129	0.793	0.255	0.843	0.171	0.735
0.9	0.126	0.798	0.246	0.846	0.166	0.74
0.898	0.126	0.799	0.243	0.846	0.166	0.74
0.9	0.136	0.796	0.266	0.845	0.18	0.739
0.89	0.121	0.798	0.22	0.841	0.156	0.733
0.902	0.137	0.795	0.273	0.845	0.183	0.739
0.894	0.12	0.787	0.237	0.837	0.16	0.727
0.903	0.133	0.794	0.27	0.845	0.178	0.739
0.902	0.125	0.798	0.25	0.847	0.167	0.741
0.895	0.131	0.799	0.244	0.844	0.171	0.737
0.899	0.136	0.787	0.274	0.84	0.181	0.732
0.898	0.124	0.796	0.241	0.844	0.164	0.737
0.898	0.108	0.795	0.217	0.843	0.145	0.735
0.895	0.117	0.795	0.225	0.842	0.154	0.734
0.891	0.141	0.791	0.262	0.838	0.184	0.73
0.904	0.122	0.793	0.256	0.845	0.166	0.739
0.895	0.123	0.786	0.245	0.837	0.164	0.727
0.9	0.139	0.805	0.26	0.85	0.181	0.747
0.902	0.126	0.798	0.251	0.847	0.168	0.741
0.897	0.125	0.799	0.239	0.845	0.164	0.738
0.894	0.135	0.799	0.249	0.844	0.175	0.738
0.89	0.139	0.79	0.259	0.837	0.181	0.728
0.895	0.124	0.785	0.25	0.837	0.166	0.727
