0.889	0.238	0.829	0.341	0.858	0.281
0.887	0.247	0.845	0.321	0.865	0.279
0.901	0.252	0.843	0.363	0.871	0.297
0.895	0.234	0.829	0.351	0.861	0.28
0.887	0.298	0.843	0.382	0.865	0.335
0.895	0.267	0.844	0.365	0.869	0.308
0.883	0.242	0.837	0.319	0.859	0.275
0.884	0.252	0.835	0.337	0.859	0.288
0.888	0.25	0.837	0.341	0.862	0.288
0.893	0.235	0.835	0.335	0.863	0.276
0.888	0.256	0.831	0.356	0.859	0.298
0.901	0.212	0.827	0.34	0.863	0.261
0.883	0.266	0.844	0.337	0.863	0.297
0.889	0.262	0.836	0.356	0.862	0.302
0.876	0.28	0.842	0.341	0.859	0.308
0.888	0.262	0.842	0.348	0.864	0.299
0.881	0.215	0.833	0.29	0.856	0.247
0.887	0.221	0.846	0.29	0.866	0.251
0.89	0.258	0.846	0.339	0.868	0.293
0.892	0.233	0.83	0.339	0.86	0.276
0.893	0.236	0.839	0.331	0.865	0.276
0.882	0.248	0.831	0.333	0.856	0.284
0.878	0.219	0.827	0.296	0.851	0.252
0.888	0.242	0.838	0.328	0.862	0.278
0.88	0.243	0.838	0.314	0.858	0.274
0.884	0.23	0.838	0.306	0.86	0.262
0.887	0.249	0.836	0.339	0.861	0.287
0.889	0.234	0.845	0.309	0.867	0.266
0.878	0.249	0.842	0.309	0.86	0.276
0.878	0.241	0.843	0.297	0.86	0.266
0.895	0.288	0.846	0.385	0.87	0.33
0.89	0.255	0.839	0.348	0.863	0.294
0.892	0.25	0.84	0.344	0.865	0.29
0.878	0.215	0.826	0.294	0.851	0.248
0.899	0.236	0.837	0.349	0.867	0.282
0.895	0.264	0.851	0.348	0.873	0.3
0.882	0.232	0.845	0.292	0.863	0.258
0.894	0.273	0.834	0.387	0.863	0.32
0.884	0.253	0.836	0.337	0.859	0.289
0.892	0.244	0.835	0.344	0.862	0.286
0.889	0.224	0.837	0.311	0.862	0.261
0.898	0.242	0.851	0.331	0.874	0.28
0.877	0.227	0.838	0.289	0.857	0.255
0.891	0.266	0.847	0.348	0.869	0.301
0.885	0.217	0.838	0.291	0.861	0.248
0.872	0.244	0.829	0.312	0.85	0.274
0.893	0.271	0.837	0.376	0.864	0.315
0.888	0.228	0.825	0.331	0.855	0.27
0.895	0.224	0.834	0.327	0.863	0.266
0.887	0.29	0.848	0.364	0.867	0.323
0.888	0.273	0.84	0.361	0.863	0.311
0.886	0.202	0.821	0.301	0.852	0.242
0.886	0.233	0.847	0.3	0.866	0.262
0.886	0.259	0.836	0.347	0.86	0.297
0.893	0.243	0.834	0.348	0.863	0.286
0.898	0.216	0.83	0.331	0.863	0.261
0.898	0.232	0.83	0.351	0.862	0.279
0.877	0.219	0.836	0.282	0.856	0.247
0.897	0.257	0.854	0.339	0.875	0.292
0.889	0.259	0.836	0.353	0.862	0.299
0.877	0.24	0.84	0.301	0.858	0.267
0.891	0.268	0.839	0.364	0.864	0.308
0.885	0.266	0.834	0.356	0.859	0.305
0.885	0.228	0.831	0.317	0.857	0.265
0.888	0.207	0.846	0.273	0.867	0.236
0.887	0.264	0.847	0.335	0.867	0.295
0.89	0.282	0.852	0.356	0.871	0.315
0.884	0.239	0.846	0.304	0.865	0.268
0.889	0.235	0.835	0.328	0.861	0.274
0.89	0.22	0.83	0.318	0.859	0.26
0.895	0.249	0.834	0.36	0.863	0.294
0.887	0.23	0.838	0.311	0.862	0.264
0.904	0.222	0.825	0.364	0.863	0.276
0.888	0.236	0.833	0.33	0.859	0.275
0.891	0.272	0.84	0.367	0.864	0.312
0.9	0.243	0.83	0.372	0.863	0.294
0.889	0.244	0.832	0.344	0.86	0.286
0.891	0.261	0.851	0.335	0.87	0.293
0.894	0.228	0.852	0.3	0.872	0.259
0.884	0.241	0.834	0.326	0.858	0.277
0.888	0.248	0.832	0.346	0.859	0.289
